text,in_reply,quoted_text,is_sarcastic
@Thaayylaa Pse ganhei a fama sem ter feito nada! 🤦🏼‍♀️ imagino se eu tivesse feito msm pqp 🤢🤮,"@DudiiSantos Tá pensando que tá me afentando falar que meu ex deu em cima de vc isso só me prova que ele pegava qualquer vagabunda é deu em cima de vc pra me por ciúmes todos sabem disso ,diminuir não pow só tô falando a verdade",,0
"Af, tá passando anaconda",,,0
o homem mais lindo do tt digo isso com tranquilidade https://t.co/izYQyQnwmC,,fala aí https://t.co/LgVVbOCEDD,0
@hannie_jisung1 @yongboktty @blue_jisung longa história q nem eu to entendendo mais,@wooojinnie_kim @yongboktty @blue_jisung quem é essa gente toda aqui amor?,,0
camila meu amor q roupa eh essa https://t.co/AH61oHtOx4,,"tanto é que só a Camila voltou ao hotel dia seguinte de manhã, SOZINHA, se o Shawn tivesse ido embora teria fotos dele voltando tambem https://t.co/gO50uUda8N",0
@msanttos32 Para nós todos...,ExcelenteNoite! ;-) https://t.co/noYe47MtgY,,0
@ervilhaehruim @red_dino_puppet KKKKKKKKKKKKKKKKKKKKKK q iso,@red_dino_puppet @sucodecajueruim,,0
To rindo mas é de desespero,,,0
@CI97B NÃO MENTIU .,"Feio é uma coisa que eu não consigo ser, sinceramente. https://t.co/HoLuyg08vi",,0
@fudeuandressa @Loweny_B Kkkkkkkkkkkkk já é,"@Danielmorais333 @Loweny_B buscopan naooo, buscofem ou advil 🙄🙄🙄",,0
Preso numa sala com 3 héteros jogando lol e falando de assuntos de hétero enquanto riem como héteros https://t.co/2i4jerFFOM,,,0
se anna parar de encher meu saco dizendo que vi*tor gosta de mim mais do que como amiga eu agradeço https://t.co/JvmkOFRBbs,,,0
@JuCittadella @DebbyCfx @AnaFarias140902 muito a cara de vocês duas fazerem isso,Eu só digo: VAI TER VOLTA MANA! https://t.co/cXeEDVzIZd,,0
"@giovanaasobral Ai, não posso comentar publicamente. rsrs",o que vcs acham das legendas que o hugo gloss faz?,,0
Agora aonde você queria estar? — Dubai https://t.co/ILNjplSSR6,,,0
objetivo: https://t.co/J6Wv9jhWDg,,"Juntos quando tudo era um sonho, juntos no Ajax e juntos no Barcelona. https://t.co/r1cP3I1NjJ",0
@marcelyanselmoo Vou compra outro se vc vier,@carollina_souz Se amanhã eu for aí é não tiver um vinho você não vai fumar,,0
@arsenicalsoul ElA GosTA doS FAvelA,,,0
@marcelokratos10 @Brendho_Furtado grandão desse jeito...é mesmo,@DaDrica2012 @Brendho_Furtado É muita droga,,0
"Então, tá 2 graus.",Então tá 4 graus em cwb.,,0
@imrwizcrd Lindo.,— 𝙸 𝚝𝚑𝚒𝚗𝚔 𝚊 𝚕𝚘𝚝 𝚋𝚞𝚝 𝙸 𝚍𝚘𝚗’𝚝 𝚜𝚊𝚢 𝚖𝚞𝚌𝚑. https://t.co/mPV8V9cbG4,,0
@loracsxx @ReaIizada Vc mesma Carolina Mello KKKKKK,@ReaIizada @srt_jauregui,,0
1. Juntar água sólida,Thread de como ter a água mais fria:,,0
"não vou ficar aqui, ouvindo aquilo.. boa noite",,,0
"Letra: Y
Artista/banda: You Me At Six
Música: You - Marina 
Álbum: não faço idéia. 

Responda com um emoji e eu te dou uma letra",,,0
Trabalhar num domingo de manhã é osso pq é quase impossível marcar alguma coisa num sábado,,,0
Resumindo minha felicidade ❤❤ https://t.co/UGqHmlxvMs,,,0
"O pulinho gente, quer o mundo eu te dou gatinho ❤ https://t.co/XWrHdycxUF",,Ever seen a cat jump like this? 🤣 https://t.co/VIfCb5BtOu,0
@deividfborges Verdade!,"Não consigo de modo algum concordar com o relativismo.

Inicialmente e principalmente, não concordo, por que creio e sei que a Bíblia é a ÚNICA verdade absoluta.",,0
Eu preciso me descobrir lésbica o mais rápido possível,,,0
vou dormir que eu já to EXAUSTA do dia de hoje,,,0
@miwnyngi frio q doi,@myoonisus ta q nem aqui 🥺🥺,,0
triste e chapada vo me mata,,,0
@OliveiraRafa Ganso francês,Nasri no Anderlecht é a transferência alternativa do dia. Reencontra Kompany https://t.co/j3LmBGYNc9,,0
"Peço mocotó , Gabriel me traz caldo de feijão branco com camarão",,,0
@detremura Sdv todos,"Sabadão da hora pra seguir de volta meu povo! 
RT ou Fav aqui seguidor 
😘❤️
                  ✅📚
                                    😎🌟
#SabadoDetremuraSDV",,0
Panelinha né .... https://t.co/JSCofg37dl,,"Batata frita, chocolate, vinho e o fumo pra esse sextou",0
@strangertbr @StrangerNews11 Feitoooo!!! https://t.co/Vf2P0liSNL,"MAIS UM SORTEIO SAINDO DO FORNO! #StrangeraThings3 

Vamos sortear DOIS funkos pra vocês! O sorteio é em parceria com @StrangerNews11 e é internacional (Brasil, Espanha e outros países) 

As regras são simples: 

- RT nesse Tweet
- Seguir as contas @Strangertbr+@StrangerNews11 https://t.co/5rx107VR6t",,0
esperando meu uber eats to me achando gente,,,0
"O Engraçado é que como o intercePT  ficou avariado e sem Moral  na última postagem deles,agora compraram a VEJA pra tentar dar uma credibilidade nas FANFARRONICES deslavadas .
 #VejaMentiu",,,0
"@3entlmen chega da uma angústia isso, nunca tá bem, e se ta bem pensam numa maneira de reclamar, ser humano é insatisfeito não adianta 🤦🏻‍♀️","@jekasas_ Hauauaua aí vão reclamar do calor, da maresia, da minha perna arrastando no chão, do céu claro. O problema não é nós lugar e nas estações é nas pessoas hauauaua elas são chatas já e vão ver problema até onde não tem",,0
alo @NetflixBrasil cadê 2ª temporada de the society em?,,,0
"@anavlaguna Meninas ruivas? Que????????? KKKKKKKKKKKKKK Olha a Ariel só é ruiva, porque a cor que eles usariam originalmente pra ela, não iria combinar (ela seria loira). Procura saber um pouco da história do filme antes de vir aqui bostejar",@Welldjr Ela nao deveria ser negra pq a personagem nunca foi negra!Ela e branca e ruiva.Ela nao e loira nem japonesa nem indiana ela e https://t.co/qFgmrXAs6W nao sou ruiva mas gosto da ariel ruiva e acho q mudar ela e um desrespeito aos fas da personagem e milhares de meninas ruivas,,0
@little_caroool Não tem nem como negar🤣,,,0
"Hoje e já comi tanta comida típica de festa junina, que não to aguentando mais!!! Eita que só de remédio lactase já foram 3!!! Amanhã só Deus pra ter misericórdia do meu banheiro 🙊hahahahaha",,,0
@snapnaro @TMaranhao @SporTV Esse aí vive querendo lacrar. Daqui a pouco ele se declara trans e negro.,"@TMaranhao Hummm apresentador da @SporTV LACRANDO!
E aquele ditado: “Quem lacra naaaaooo....”",,0
@jikookinkyasf vc é muito linda senhooooor,"quem é você por trás do fc? 

essa sou eu hihi EU QUERO VER VCS LEITORES PRA MIMAR MT VCS POXA https://t.co/MxbPbO6CRV",,0
"Estou com uma cólica filha da puta, caralho. Ainda esqueci o meu remédio",,,0
ai não vejo a hora do cigarettes after sex lançar outro álbum,,,0
@gillixnas @floridkillos Eu me acabo de rebolar com Cola.,@floridkillos eu não sei vcs mas eu vou até o chão  com lana?? https://t.co/E8B2WU4Y4I,,0
@leomartino_ Você não vai?,Espero que o dia de vocês amanha seja bom!,,0
Meu Maravilhoso ❤️ https://t.co/IbiwuNWYSr,,"PERNAMBUCO

O Recife antigo é o cartão de visita, Olinda é ali do lado, tem sua própria Ilha de Páscoa 🗿 
Porto De Galinhas foi eleita 10 vezes a melhor praia do Brasil!
E já que uma imagem vale mais que mil palavras, pois tome logo essas quatro!! https://t.co/3gMhV30o5m",0
"@thaylisepivato olhando pra Thay, e pensando: PQ NÃO ENCONTRINHO EM RECIFE UEEEE",,,0
@cptainbonny @michaelsheen @GoodOmensPrime @neilhimself exatamente minha reação sempre que vejo eles 😭,@anadelonge @michaelsheen @GoodOmensPrime @neilhimself https://t.co/K4ENsi777f,,0
Que vergotaaa ricaaaa https://t.co/cJJ4sBOXdR,,,0
status de visita: 7 pessoas viram esse perfil https://t.co/Uxvsaoy3aK,,,0
Vocês pensaram q eu não ia rebolar a minha bunda hoje 💃💃,,,0
O JOSH EU TO TAO ORGUKHOSA MEU DEUS ELE FOI PERFEITO CARAMBA,,,0
@falaegab Ouvi uma e fiquei bem (?) gostei mais da parte da Negra Li,,,0
eu tentando traduzir o que a Duda tá falando pq tá doida a mulhé,,,0
@lainemataa amiga desde q eu criei essa conta eu aguardo esse momento,"E eu q no dia do meu aniversário simplesmente ñ abri o tt e esqueci q acontecia isso
MT burra affe https://t.co/Cb0CDhY5px",,0
@SolPerez A77AQUE 🎶🎶🎶🎶 👏👏👏,Tan nena y tan mujer fatal 😈 https://t.co/Z8pzXFN3V5,,0
vou ler au e vou dormir.. amanhã eu tomo no cu pq hj JA DEU,,,0
Aí seu ordinário fdp cala essa privada de falar do Moro...ele prendeu o ladrão  José Dirceu o maior corrupto do país...ele é  parente seu??,,,0
@corretivos @BlogDoPim Não é porq debatemos fortimente cada um defendendo oq acredita que precisamos nos odiar. Até 😘,@SoraiaNascime17 @BlogDoPim Gostei de você me chamar de meu bem! &lt;3,,0
"@jvportugues32 Prr começa n , tu tá com o Nintendo","Comprando bully e gta san andreas rs
Agora ng me segura",,0
As férias que eu queria....rsrs https://t.co/koZtkNRROA,,"Gente, que ferias eh essa que eu só transo e durmo",0
Primeira vez que a minha menstruação vem no dia certinho,,,0
Meu irmão deixou forte,,,0
"@_amandaccf Kkkkllkkkkkkkkk, cancela amanhã",@shai_nunes saí fora,,0
POR QUE ACABOU ASSIM DO NADA,,,0
"aliás, sonhos e autoestima são tão aleatórios né?",,,0
"@guimaraesgreyci foda que eu vi ela hj e to com saudade, greyci. tnc pprt",@viniciuswilpert ela volta........,,0
“Sextou em casa” disse a menina pronta pra sair,,,0
@ductuspop @Boogarins @alavoisine @Boogarins mdds onde consegue essas cassete,"Les @Boogarins pour moi, c'est une interview qui n'a jamais abouti mais aussi &amp; surtout cette petite cassette achetée en 2013. À voir ce soir au Taquin à Toulouse, merci @alavoisine ! https://t.co/ogi9XDoW3n",,0
Ah bicho já não é a primeira vez pqp,,,0
@wang_girlfriend bons sonhos😈,se eu nao dormir...penak https://t.co/VjNwaVZsdW,,0
@unitersupdate o que aconteceu?????,"🎵 SETLIST DO SHOW:

1 - Parana",,0
@Lorrainygomes9 @nath_matoso aaaa precisamos fazer isso logo!!,"@nath_matoso @anacferreirams  eu vcs, um filme, um balde de pipoca eu como a pipoca toda e depois hambúrguer e sorvete na hora de ir embora antes da janta 🥰 https://t.co/uaWMKt1Rnt",,0
"Eu tava surtada esses dias e com fogo no cu aí hj desceu e eu falei ""ata agora entendi tudo""",,,0
"Para com isso, não tire suas conclusões, vamos trocar uma idéia como adultos 🤷🏾‍♀️",,,0
eu ouvindo a samara https://t.co/8TfW5dEl82,,eu escutando os áudios da minha amiga surtando de novo por causa do menino q ela gosta https://t.co/Pc0hvqIfTv,0
@goulart_lenita Série Designated Survivor. Recomendo,"Me indiquem um filminho bom...🥰
Por favor, Netflix.",,0
"@curl_hot Tamo ai pô, foco na respiração sempre!",Obrigado stenio e florentin por falarem comigo na hora que eu mais precisei ❤,,0
"@mutualhoran canoas - rs, e eu que tenho que acordar praticamente todo dia 6:30 pra ir pra aula sofro kk","@cabeyolimits Itajaí, sc, e vc mo?? Eu gosto quando posso ficar o dia inteiro deitada kkkkk",,0
@peterkvinski NUNCA VOU SUPERAR,"@andwrperry SIM!!!!!!! em st2 o noah inventou a atuação, foi PERFEITA. nossa, fiquei mt mal, ele merecia todos os prêmios do mundo e infelizmente foi boicotado",,0
GENTE QUE HOMEM BABACAO KKKKKKKKKKKKKKKKK NUSSA,,,0
"af só track maravilhosa, no https://t.co/A5jLgE1B1q",,"Pra aqueles que reclamam que não toco mais Indio Maluco, Surto, Juremix, Talking to the Stars, Lua de Agosto, Fear of the Dark, entre muitas outras, chegou a hora!  Set Old no Rio Grande do Sul! É infinito e não para! https://t.co/tmgKCq2Cxe",0
serio é muito ruim ser eu.. eu não tenho nada de bom,,,0
"@republica_ctba 😂😂😂 essa gente tem fetiche pelo ministro e pelo presidente 
#SomosTodosMoroEDallagnol 
#Bolsonaro2022",Advogadas entram na Justiça para pedir que ministro da Educação desbloqueie professora esquerdista do Twitter https://t.co/jgWYtBNsv3,,0
hannibal enfiando piadinha canibal em conversas completamente normais é tudo pra mim,,,0
E o que me resta é dormir... pra variar...,,,0
Parabéns miga tudo de bom 🎉🎊🎂👏🍻❤ https://t.co/NgoFppIJAN,,"Parabéns pra mim simm🎉 17 aninhos de pura lindeza, Pai muito obrigada por me permitir mais um ano de vida depois de tantas lutas e vitórias permaneço aqui de pé 🙌🏾 só gratidão na minha vida, obrigada Senhor e que essa data se repita por longos e longos anos 😍🥰 https://t.co/BvUHRpbPl2",0
quase todo mundo ja terminou stranger things e  eu nem comecei,,,0
essas pessoas acabaram de visualizar seu perfil https://t.co/m8jmTSX0u4,,,0
@evansinney ela e o apolo meus amores,"@buburguesinha nossa, eu amo demais",,0
eu não consigo ver um story verdinho e não clicar nele,,,0
KKKKKKKKKKKKKKK MANOOOOOOOOOO EU O ARTHUR E MINHA MÃE NA PRIMEIRA VEZ Q PEDIU PIZZA NO GUARA EU TO MORRENOOOOOO https://t.co/KwW7oaroT5,,"""liga pra pizzaria""
- mas eu não sei pedir
""é só pedir""
- e se eu errar o pedido?""

- oi kk vcs tem pizza? https://t.co/Pd2YPNYDXf",0
@lptdessinateur Fazendo bastante com o CEO,Papi na via em coronadas com o @JoelsonLPT 😈,,0
@TheEminemShow23 @vargasfefe @myseIfstan não contra as mulheres!!!,@vargasfefe @myseIfstan Nós Homens @falsostan temos que nos unir,,0
Depois meus amigos me mandam tnc @wenderbarba @PaolaPietrucci https://t.co/Nm2ys9Axcy,,os roteiristas de riverdale tem 13 anos https://t.co/xJ4y1ll08b,0
"@CassAndCrowley Hahahahhahahahahahahah

Manje aí no vídjo!!!! Kkkkkkk

https://t.co/54uw79ssE4",,,0
"Meredith médica, super inteligente, gente boa não merecia um traste como Derek 
o único defeito da série foi ter deixado eles ficarem juntos",,,0
Johanna me mata do coração,,,0
Ganhei dois frangos hoje no binguinho da igreja kkkkkk,,,0
@MryRc @ohtomybbh_ opaque you all,@zxcvbnmari_ @ohtomybbh_ HAHAHAHAHAHA,,0
E quando está 🌤 faz o verdadeiro calor https://t.co/mbscriyOWw,,aqui em casa faz muito frio,0
@hthisheet e tu não realizou até hoje por que????,,,0
@BolsonaroSP Falastrão! Sangue suga da nação.,De 10 anos para cá o Brasil mudou-e muito! A roubalheira do PT não apenas revoltou os brasileiros como também aguçou seu interesse por política. Hoje muitas pessoas sabem o nome dos 11 ministros do STF e não sabem dos 11 da seleção brasileira de futebol finalista da copa América.,,0
@jusalles01 Açaízinho,O que homem oferece além de pau e mentiras ?!,,0
Wtf alguém cancela subcelebridades pf https://t.co/lopUeuFPRL,,não tenho maturidade para o filho da Gabi Brandt e do Saulo https://t.co/SsBBBDh0h0,0
@VitorBala16 curta por mim 😉,"@maravilhosa____ Do lado de casa ,  tenho que ir né ... 🤣🤣",,0
"Baby, você é perfeita 🎶",,,0
Começar a guardar dinheiro https://t.co/ZXedQ3f8MF,,Esse casaco tá muito lindo 😍 https://t.co/crK7JiXlP4,0
@benjaminback Nuncaaa,"Você trocaria ser treinador da seleção brasileira por um contrato de dois anos no futebol chinês por um contrato de dois anos para ganhar U$24.000.000,00? #fsradiobrasil",,0
"20 graus e eu já to usando lenço gente, assim não dá","Meninas que andam com o pescoço de fora nesse frio, como cês conseguem ?",,0
"Essas horas eu fico muito paranóica, passando várias coisas na minha cabeça",,,0
Esse ep final q é de 1h bb? SEJA FORTE VANESSA E ASSISTA,,,0
Foi uma merda https://t.co/SVARABJFHw,,"Marquinhos conta como foi marcar Messi na Copa América sofrendo com diarreia
https://t.co/EsEsFfKTQF https://t.co/x9FUYjBTFT",0
"Sem condições esse final. 

Tô de coração partido 💔

#StrangerThings",,,0
"pois eu estou explodindo de orgulho desse menino, é nítido a evolução meu Deus eu vou morrer de tanto amor https://t.co/4ONnrX21PX",,,0
meta de vida: ter vizinhos que se preocupam com os meus surtos https://t.co/vlULp7AhUS,,MOOD #WearewithyouJosh https://t.co/urbFBmYz7x,0
fazendo piada pra disfarçar a dor que sinto de ainda não ter assistido homem aranha,,,0
@Bittenskrr nn eh porque o cara quase meteu a faca em mim e eu esqueci o celular no Uber e tive q pagar pra ele voltar,@ogeodz serase eh por causa de mim,,0
Eula flores👭 bff https://t.co/tVs6t0yF7k,,,0
cherar 39kg de po da nisso https://t.co/q352pvBL15,,"- A esquerda está me atacando por defender que nossos filhos sejam educados para desenvolver a cultura do trabalho desde cedo. Se eu estivesse defendendo sexualização e uso de drogas, estariam me idolatrando. Essa é a verdade!",0
"@gilbertoth2 Vcs, q estão jogando sem mim",@joy_clara017 O que houve?,,0
"Nunca mais vou por as outras pessoa em primeiro lugar
Não vou mais me acabar por ela
Pra dps elas disserem que eu fui um nada
EU TÔ MUITO CANSADA.
MAS MUITO.",,,0
"morar em morro o frio é 50x pior, cê loko",,,0
"NADA ACONTECEU, MEU AMOR É TEU, SEM VOCÊ ACHO QUE NEM EXISTIRIA EU",,,0
"Visual novo, pronto pra ficar em casa.",,,0
@an_frio Lindo de bunito,um momento pra apreciar a beleza do meu namorado https://t.co/QcQdgXS7m9,,0
@ggukiepridx eu juro que vou tentar 😔👉👈,@p0rnjikook faz a au pfb,,0
COMO ELA DEIXA O CACHORRO FORA DE CASA NO MEIO DE UM TERREMOTO? https://t.co/LrARbyCXOp,,,0
1 pessoa acaba de visitar seu perfil https://t.co/NJRYlfSMLX,,,0
"me coço pra não contar as coisas, me ajuda deus!!!!!!",,,0
@jjaffett Mentira https://t.co/965jdWmTx7,@Fanillera_ Inventada https://t.co/IApCqrnzSD,,0
DUALma / duALMA (achei conceitual) https://t.co/MC13cKvBuI,,Renesmee https://t.co/UDcK8IGqJZ,0
"+ Ele descreve cada pedacinho do caminhar de alguém que tem os olhos vendados pelo único sentimento que nos faz acreditar no amanhã, o amor!✨ https://t.co/e4zzINh9nU","✨""Quando penso em você..."" é uma história pretenciosa que narra a dor e a esperança de querer ter algo que não pode ser alcançado. É sobre amadurecer com o vazio que só pode ser preenchido por algo inalcançável. + https://t.co/X1BvoUGX8H",,0
to sozinha todo mundo dormiu alguem fala comigo,,,0
trabalhar p levar minhas amigas p jogos do thorns,,,0
"@haseultears Parte boa: pau
Parte ruim: homem","@hiraiseokie é muita coragem mesmo amiga, &gt;&gt;muita&lt;&lt; coragem",,0
si diverti hoje 🥰,,,0
fui jogar gartic e sai de la humilhada com os meus desenhos furrecos https://t.co/vhiWJPErCy,,,0
Amanhã v dormir o dia todo,,,0
"@YasminMegierr Queee???
Tava demorando😂","Tem coisa melhor do que uma sexta feira e série?

Sim rsrs. Eu,vc,sexta feira e série",,0
@ayllaffc eu quero vc já sabe neh,as mina da mnh escola me encaram tanto num sei se elas querem me beijar ou me bater,,0
@bwddgirl Importante que ta dando certo,"@Naclaus1 Renova sim enquanto isso vou tá orando por você, Deus traz libertação a quem precisa.",,0
@thatha_sv Evolução de gif pra figurinhas kkkkkk 😂😂😂😂😂 https://t.co/pLi1x4nwqv,queria dizer que se você busca figurinhas no whatsapp fale com @_feebleue_ essa molier tem um estoque ilimitado!,,0
nao serio vou surtar mue deus a grazi meu deus,,,0
"Mas manoo essa thread de jelena é uma experiência de raiva, tristeza, empatia, mas pelo menos tem um final bonitinho que não envolve aquele cuzão do caralho",,,0
@thay_olimpio Era só aquele bolo de chocolate seu 😋🤭,"@i_bela1 Nem fala, só vc patrocinando mesmo 😋",,0
Em dias de eclipse coisas estranhas acontecem. Até o hambúrguer na chapa aparece com marca de grelha. https://t.co/0VNu3YsBC5,,Novo Picanha Cheddar Bacon. É muita Picanha. Muito Bacon. Muiiiiiiiiito Cheddar. É só isso mesmo que a gente tinha pra falar. https://t.co/X9jG9zboFL,0
"O presidente do meu país é a favor do trabalho infantil. 

E o declara publicamente.

Que época doída para estar vivo no Brasil.",,,0
UM CARINHOSO ABRAÇO PARA SUA QUERIDA PRIMA https://t.co/5NSvPgsdr0,,"@eikebatista eike minha prima quer ser empresária e tem você como maior inspiração, manda um abraço pra ela https://t.co/OmxBV01Gd3",0
Quase morri congelada andando 3 quarteirão de moto,,,0
"@oppavaomisterio o Demori está colocando vídeo do eclipse, melhor não abrir",,,0
o ph mais triste do mundo,,,0
@CardosoJP11 Seu rabin,@CarollzinnhaBlz 👶🏽👶🏽👶🏽👶🏽👶🏽👶🏽👶🏽,,0
NUM GOXTO SIMATA https://t.co/lPrJFC3QYf,,𝕷𝖆 𝕽𝖔𝖘𝖆𝖑𝖎𝖆 https://t.co/wSE6Ew2Tnc,0
@justinbieber LIIIIIIXO https://t.co/ghCQoRmJXA,,as traições do justin com a selena a thread;,0
"acho que não tenho salvação mesmo, eu deveria ter me matado logo para não dar mais trabalho e decepção para minha mãe.","é foda, depois de tudo aquilo que aconteceu comigo eu só me afundei mais, ansiedade e depressão já no limite e a insegurança sendo minha pior inimiga.",,0
"@Karol90933832 Filhona, tenho tempo suficiente para terminar essa série kkkk, mas podia ter sido com tu né kk",@leaozziin Pelo menos vou acabar a série primeiro q vc kk,,0
Carai todo mundo sabe que eu sou a melhor pessoa kk https://t.co/8wKh3QgF76,,o gordão é a melhor pessoa e quem concorda respira,0
nem eu  sou péssima https://t.co/o2vgtAWWIr,,mds eu definitivamente não sei fazer amizade,0
Ariel tudo pra mim https://t.co/jZaqXcAY2y,,"The next Ariel, Halle Bailey, and her sister singing beautifully Applause by Lady Gaga in 2013. https://t.co/njwRhQfq4K",0
Câmera de segurança registra perseguição da polícia a jovem com Fusca no interior de SP; vídeo | Bauru e Marília | G1 https://t.co/Hue3ILuBAE,,,0
@iuriqi chama a nega véia agr,Fui obrigado a ligar o ar hoje,,0
Ultimamente até em cigarro ando pensando lol,Eu sou péssimo queria ter a capacidade de não me envolver com mais ninguém nunca mais,,0
eh foda quando teu melhor amigo nao ta na msm brisa q tu,,,0
Tédio! https://t.co/6oohbaMmQa,,,0
seu perfil foi visto por 5 pessoas nas últimas 6 horas https://t.co/xLVE7osTIf,,,0
"@Milakbps Em descrédito e embaixa estão essas mídias subversivas, CorruPTas e sujas do Brasil. 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 https://t.co/KC1t8f3mHz","Segundo a imprensa, nosso ministro andou caindo em descrédito.
O Brasil reverencia Sérgio Moro por onde ele passa. https://t.co/QCFM5WTKIY",,0
@jaoribeirocrazy @pdrlll KKKKKKKKKKK oq predrinho tem de pau eu tenho de perna,@pdrlll @MatheusNozawa1 https://t.co/79Ha9pH4Pz,,0
heineken me destrói,,,0
@teeuzsilva123 fortaleceu kkkkkkkkkkk,@jaacksonandrade Tu pediu ue kkkkkkkkkk,,0
Oferta Especial https://t.co/0OBsRgWXoq || Trânsito: RT @LinhaAmarelaRJ: 01:56 Sentido Fundão trânsito bom,,,0
Agora o temporal passou a cabeça esfriou🎶,,,0
@badbyre ele nem parece com o jimin,,,0
Sexta na melhor companhia 😍💏,,,0
@SnooPy0xy me trata bem?,@nicolekkkkkkk Seu cu fdp kKKKKKKKKKKKK,,0
E pq eu sempre dou meu número pra pessoas aleatórias?,,,0
"@MariaLovegood7 @OSeveroPotter eita poha, eu...",@MariaLovegood7 @OSeveroPotter t amo,,0
@tonyxtarq hmm acho que não mo,gente será que se alguém trocar de mente com o thor a pessoa consegue levantar o martelo dele??,,0
bebê ai que saudade de sentar pra você.. 🎶,,,0
"@leehbrasil7 @falarafha se segurando nada, pq vc me dá dicas o tempo todo e eu fico nervosaaaaaaaa sem saber o que é","@falarafha eu com vc, me segurando pra n dar dicas @camxxp",,0
Não consigo dormir que a minha cabeça tá a bombar com música lá dentro 🎶 🕉,,,0
@MdeMaraisa tínhamos terminado?????,@bxrtwli Namora cmg dnv??,,0
@beauany_de @anygabrielly @joshbeauchamp faz sentido,"JUSTIFICATIVA PARA O JOSH NÃO TER FICADO “PERTO” DA ANY EM WWTTL.

No calor do momento ele iria tacar o beijão na Any e acabar com a performance, juntamente com o contrato.

@anygabrielly 
@joshbeauchamp",,0
seu perfil foi visto por 3 pessoas nas últimas 2 horas https://t.co/UyeEHpxgqP,,,0
"@luizaslvdr Vc sendo grossa com alguém 
Oq está acontecendo meu Deus?????",fui mo grossa sem quere e n sei oq faze,,0
gente o jimin tá tão pitico,,,0
Bom vou dormir boa noite pra qm fica,,,0
gente agora silencio estou duo com Ele,,,0
"Mano eu e a Ana estamos de tpm, ent qualquer coisa irrita a gente, inclusive nossas próprias presenças",,,0
O que que um bigodin finin não faz em?!,,,0
"@maedaisaa Obrigado meu amor, de coração. Tudo em dobro pra você e sua princesa ❤️✨",@Thamirys_27 parabéns p príncipe que Deus abençoe lhe dando tudo que há de melhor.. 🥰👏🏽💙,,0
Ok vamos reativar isso aqui quem segue jesus manda pergunta quem segue o diabo só olha  https://t.co/EHrbYCn7j8,,,0
boa noite só pra quem tá tendo mesmo ne,,,0
alguém vem mi esquenta,,,0
Sempre erro meu poema favorito,,,0
ouvindo minhas músicas tristes antes do sono bater,,,0
@sophialomo nosso estágio está aqui https://t.co/IgXIAGoCY6,,,0
"Mano, Larissa estou muito tonta 😂😂😂😂😂😂",,,0
Vou dançar horrores nesse xv da diih,,,0
