text,in_reply,quoted_text,is_sarcastic
"@Cf27Magno @Paysandu Égua! Tá lotado! #sqn
😂😂","Treinamento do @Paysandu sendo realizado neste momento no estádio da Curuzu, com acesso liberado para o torcedor nas arquibancadas. https://t.co/MtWDVs3WUO",,1
@AidaGomesDasil2 Carinha de anjo 😇 #sqn,#NovaFotoDoPerfil https://t.co/3Zk2m96iEr,,1
Super normal essa relação de conluio entre juízes e promotores... #sqn ...vide respostas abaixo 👇 https://t.co/M8Hs6GKoEl,,Sou advogada há 10 anos e desafio meus colegas advogados a comprovarem se alguma vez na vida um juiz lhe forneceu o número do  seu telefone para trocar msg e juntos  traçarem estrategias de defesa para o seu cliente!,1
"Sabadão, solzão, cervejão 😅 #Sqn https://t.co/GRvwHCwlEL",,,1
Melhor companheiro de viagem ❤️ #SQN https://t.co/Et3VT8f16g,,,1
"@meudeusmatheus É pra rir ou chorar desse povo??? 
#seletivo
#humor""crítico""
#sqn","EU TO MORRENDO COM ESSA PARTICIPAÇÃO DO SÉRGIO MORO NO GREG NEWS
AAAAAAAAAAAAAA https://t.co/yDheXK97hU",,1
"🤦🏻‍♂️
Ele doou incríveis R$ 48.500,00, somando todas as campanhas ... Dizem até que isso foi decisivo para a eleição dele ...#SQN https://t.co/uUoRh6iNJ4",,,1
"Planejar dormir até mais tarde, acorda as 8h com uma tosse maldita, claro inverno é a melhor estação #SQN #ODEIOINVERNO",,,1
"@rafinhabastos Comparação muito parecida, não é? #SQN",Minha namorada descobriu uma série de mensagens eróticas e nudes que troquei com outras mulheres. Felizmente consegui provar de que o vazamento foi ilegal. Continuamos juntos. ❤️,,1
"@SousaElias40 @AnikaVix @davialcolumbre @SenadorKajuru também deve ser agradecido, assim como @renancalheiros @RodrigoCunhaAL e vários outros q vivem no mundo maravilhoso do mundo sem armas #SQN","Obrigado senhor Senador @davialcolumbre , nós brasileiros de bem estamos muito"" felizes "" com a decisão do senado federal . https://t.co/iotkGNofYn",,1
"@BlogOlhoNaMira @nortonlimajr @ggreenwald 🙄 Aí Norton... essa sua durabilidade me deixa tão confiante no Moro, #SQN,
Eu não sou daqueles que só enxergam aquilo que querem enxergar.
E sem contar que já não sou mais inocente para acreditar em Sassá Mutemas",@nortonlimajr @Ricazinha @ggreenwald Se for ilícita pode não ser real,,1
"Bom pras organizadas da @jacicaveari e @MCaveari 
#sqn https://t.co/Q5cBIvHCAr",,"QUERO

TUDO

QUERO https://t.co/JvT3UDY6V6",1
"@ConversaAfiada O importante é que:

- a mamata acabou;
- o preço das passagens aéreas caiu bastante;
- ficou baratinho levar sua mala de roupas no avião;
- mais pessoas estão podendo voar;
- desemprego diminuiu depois da reforma trabalhista;
- a corrupção desapareceu; e
- a economia tá 10! #sqn",https://t.co/74ERIGHezI,,1
"@SF_Moro é criminoso, #RenanCanalha é honesto e @LulaOficial é ingênuo e inocente #SQN #ALeiNoPaísdasMaravilhas https://t.co/U0QWD2eYl0",,Renan diz que 'Intercept comprova que Moro é Fora da Lei' https://t.co/OzntfTC4FB,1
"Melhor efeito 🤩 #HP #HarryPotter #Grifyndor #NoFilter #Saturday #BeautifulDay #Winter #SQN 🥵☀️❤️🦁⚡️ em Indaiatuba, Brazil https://t.co/EqO276q74n",,,1
"usted puede convertirse en un gay sólo porque otros han decidido asumir. Va a ser gay porque ve esas fotos. Tenga mucho cuidado.

Queremos que os homossexuais continuem fingindo e q tenham casamentos hétero porq, senão, vamos todos virar gays só por vê-los.
Feche seus olhos.
#sqn https://t.co/coMxVFdkLl",,Nos vamos a la mierda #FelizSábado https://t.co/JZSKEE0kub,1
"É o que se vê mais naquela publicação. ""adeptos do varandas"". #sqn https://t.co/qjWQgKR5Vu",,"Não é verdade. 
Adeptos do Sporting, Adeptos do Bruno e Adeptos do Varandas
Podes trocar os nomes por direcções, se quiseres. https://t.co/PFEGDnJB4R",1
"@CarlaZambelli17 O Pavão novaiorquino um jornalista isento #sqn
Rir pra não chorar 🤣🤣🤣","A ""Entrevista"" curiosa e reveladora, foi realizada de dentro da prisão da sede da Polícia Federal em Curitiba há exatamente um mês! Reparem bem na fala final do ""jornalista"". Curioso, não?

#MoroMaosLimpas
#OPavaoTemRazao https://t.co/w3uvE9SCTD",,1
"@prefsp Está sobrando dinheiro e tempo na prefeitura de São Paulo. 
Pelo visto o @brunocovas solucionou todos os problemas do trânsito de Sampa. #sqn 
Mas continue nessa linha, tá cada dia mais fácil banir vc da vida política. Vc é uma versão nova do @Haddad_Fernando?","Na Semana do Orgulho LGBT, semáforos da Paulista celebram a diversidade https://t.co/WrXfv49i2f https://t.co/vhasjILIUq",,1
"Era um vez Poços de Caldas - MG
Once upon a time in Poços de Caldas - MG

Nem parecia que a montanha era tão alta #sqn 😂

It did not seem that the mountain was so high. #saidnooneever 😂

#poçosdecaldas #mg… https://t.co/Un5XHfypUd",,,1
"@leilaoxx É porque a ""alegria"" de Nicole é muito autêntica e natural... dá pra perceber! kkkkk #SQN","Impressão minha ou o lado 🅱️osta tá querendo mostrar que eles tb zoam e são felizes e o Lado 🅰️ tem energia pesada? tão cantando,dançando e pá,o engraçado é que quando o Lado 🅰️ faz isso são irritantes,desagradáveis e etc,quanto VT em Nicole. #PowerCoupleBrasil",,1
"Então não foi a corrupção endêmica que há décadas vem matando o país. O problema foi descobrir o mecanismo e punir os bandidos. 
Parabéns pela lucidez dona da Band! Você é genial! #sqn https://t.co/S9arfWAvQT",,"Dono da Band diz que Lava Jato destruiu a economia do Brasil. 

Dono da Band também dá emprego a Monica Bergamo e Reinaldo Azevedo. 

Se o Dono da Band entendesse de economia, não desperdiçaria dinheiro com esses dois manés.",1
"@LovattiBruno @JovemPanNews @andreazzaeditor @veramagalhaes @alex_borges Gosto deles, é o momento mágico do meu dia! Durante 1 hora o meu país tem um parlamento de educação  britânica, com políticos de honestiade suéca e um pr da camara que não levanta nenhuma suspeita #sqn","Melhor equipe de analistas políticos do Brasil. Melhor prograna de rádio no país. A @JovemPanNews poderia aumentar a duração do #3em1, pois fica muito corrido tudo em apenas uma hora, com intervalos no meio. Parabéns @andreazzaeditor, @veramagalhaes e @alex_borges! 💡 https://t.co/E2ursinPJ8",,1
"Ah, esse capitalismo. Como é bom, né? #sqn https://t.co/DnD3GLzRU0",,Gol vai elevar preços de passagens e reajustar milhas por baixa ocupação em voos → https://t.co/GnauXQ5bRI https://t.co/zI1I3Wkf2d,1
"@GabyORod haushaudhaushaus o núcleo social do grupo #sqn
Hj em dia se consigo arrastar 3 é milagre",@SrAlanielson Hummmm popular,,1
"Aquela foto sem filtro #sqn 

#instagram #instapic #instagram #photography #photooftheday #germany #self #brazilian #clic https://t.co/TVmolPcyoU",,,1
@senadorhumberto Valeu a tentativa. #sqn https://t.co/c8oXwUBzt8,"Para juristas, o conteúdo das conversas vazadas entre o ministro da Justiça, Sérgio Moro, e o procurador da Lava Jato Deltan Dallagnol ferem o princípio da imparcialidade https://t.co/WvQOn8d5ki",,1
"Feriadão, assistir filme, ir para festas, dormir até tarde, dormir de novo... #SQN
Cuidando de 2... rsrs",,,1
Odeio acordar cedo mais hj foi por um motivo bom fazer um cafezinho e dois misto pra ele ir trabalhar me senti casado agora kkkkkk #sqn,,,1
"E tão bom receber um não logo de manhã, me sinto até revigorado #sqn",,,1
Igualzinho em Recife.... #sqn https://t.co/Ti0hdgsCbS,,Manifestação com mais de 2 milhões de pessoas em Hong Kong. Eis que uma ambulância precisa atravesar a aglomeração e... https://t.co/4PT1UFIo5U,1
"Me ajuda pelo menos uma vez a acreditar em vocês, curitiboys! #SQN https://t.co/1JhAs4hEea",,,1
@folha Só matando o calendário escolar. Mais um dia de aula não reposto e o aluno que se f**da depois. Belos professores.#sqn,Professores das redes pública e privada vão parar contra reforma da Previdência nesta sexta https://t.co/0BFs6UlsBu,,1
"@Gislaineg4 @andresadede 🤣🤣🤣🤣🤣🤣🤣 
Seooooor medo delas...
As bolsominions são perigosas #sqn são patéticas mesmo!",@jutvijenko @andresadede https://t.co/SU2NIEGm7p,,1
@PaulaOcanha1 @jeanwyllys_real @monicabergamo Bem patriota heim??? #SQN,@jeanwyllys_real @monicabergamo Só leio:..mi mi mi mi #InMoroWeTrust,,1
"@BravoWellen @j_laion @bernardopkuster Ganhou prêmio fazendo este mesmo tipo de reportagem e depois disso está proibido de por os pés no Reino Unido ! Todo os países que fazem parte. 
É muito gente boa #SQN",@j_laion @bernardopkuster Grande bosta!,,1
@JornalOGlobo Carioca vota MUITO bem #sqn,Alerj aprova lei que obriga que usuários de patinetes elétricos realizem prova no Detran: https://t.co/j0Y98yecDu,,1
@PauloTohme Tadinho!!! #sqn,mais um CPF cancelado. https://t.co/KaD0RV6Shk,,1
O Senhor está muito impopular Presidente... #SQN @jairbolsonaro @CarlosBolsonaro https://t.co/wE49KADsHs,,🇧🇷👏👏Chegada em do presidente Bolsonaro em Belém-PA👇 https://t.co/yX56IfKszG,1
"Não é possível... Mas estamos no Brasil, sim é possível

#InMoroWeTrust #sqn https://t.co/QPYPwOdA7U",,,1
"@elisangelaqueli @GuimaraesLiih @BolsonaroSP ""todas as mulheres que eu conheço também querem""
Seleto grupo de mulheres, hein? #sqn",@GuimaraesLiih @BolsonaroSP Eu quero armas e todas as mulheres q eu conheço também querem.,,1
Insta cadê vc!? Essa semana tá ótima..#sqn 😂😂👎🏾,,,1
@lorenzof5 Será que vai ter pré venda?? Tô ansioso para comprar!! #SQN 🤣🤣🤣,🤦🏻‍♂️ https://t.co/6n8IRMk19H,,1
Segurando meu buquê de dia dos namorados... #sqn https://t.co/vad4SFNsvW,,,1
"@jornalodia Nossa, como essa notícia é importante para o país! #SQN!","Com total apoio da mãe Michelle e da irmã Paloma, ela fez sua primeira tatuagem.
#ODia 

https://t.co/Nay0kOuplS",,1
"O Augusto @augustosnunes dos Pingos nos Is acusa @ggreenwald de ser responsável pela captação do material e o chama de criminoso. Com exceção do Zé Maria, todos da bancada acusam o @TheInterceptBr de ""terroristas"". #MoroOrgulhoDoBrasil #SQN",,,1
"@jornalodia Nossa, que ideia linda, ameace os usuários para que eles tenham educação. Pode até funcionar... #SQN!","O passageiro que não levantar para dar lugar a quem tem preferência poderá ser multado em aproximadamente R$ 50.
#ODia

https://t.co/AF8FDQu0vf",,1
"@senadorhumberto @SF_Moro Seria o maior sonho de td pilantra,o sonho dos vagabundos seria Moro e Bolsonaro presos e Lula livre! #SQN","Resultado do jogo de ontem em Brasília: Flamengo 2, CSA 0 e @SF_Moro rebaixado. #VazaJato #VazaMoro #FarsaAJato https://t.co/vAHC1CEUOK",,1
@_rafaelcoimbra Essa é nossa Alerj... Na vanguarda da sociedade... #sqn,"Oi????????????

Alerj aprova lei que obriga que usuários de patinetes elétricos realizem prova no Detran https://t.co/FyBj3i24ju",,1
@carmelonetombl @marcelvanhattem A verdade dói! @IvanValente mentiu! Ele quer aposentadoria especial pra ele sim. Tudo isto defendendo os “mais pobres” #SQN #NovaPrevidência #EuApoioaLavaJato,"Quanta cara de pau! O deputado @marcelvanhattem perguntou se Ivan Valente havia aderido ao regime especial de Previdência, e quando a gente menos espera, José Guimarães, do dinheiro na cueca, pega o microfone e denuncia a “AGRESSÃO” de Marcel. Ué? Perguntar ofende? Não sabia.",,1
Ana Paula e Vanessa quase gêmeas com esse vestido. #sqn #AQueNaoPodiaAmar049,,,1
"@xicograziano Aí fica fácil fazer uma sopa de peixe, quando se tem todos is ingredientes #sqn","Alguém achou que a proposta de reforma da Previdência seria aprovada como chegou ao Congresso?! Jamais funciona assim. Por isso que os governos colocam coisas a mais, exatamente para negociar. Faz parte do processo democrático. Parlamentares existem para isso, temperarem o caldo.",,1
Meu presidente nem é querido #SQN olha só @RodrigoMaia @STF_oficial @camaradeputados nada mudou #BOLSONAROPRESIDENTE https://t.co/r06EROBB7S,,Chegada em Belém/PA. 🇧🇷 https://t.co/Y3mpDe3tQu,1
"""Já, já, recupero"" #SQN. Você é burro assim mesmo, ou tá de sacanagem? Vai tentar o sucesso repetindo as estratégias fracassadas? Estude e tome decisões seguras, aprenda a investir em valor e não se estresse com cotação.…

📸 https://t.co/fD2kztdLxe via https://t.co/cSp4szkjIM https://t.co/jQynTxLrOq",,,1
Melhor forma de comemorar meu aniversário é montando o banner da apresentação do meu projeto de tcc #sqn https://t.co/H5005DJhTv,,,1
Olha aí @Rconstantino “igual” ao jogo do flamengo ontem. #sqn hahahaha https://t.co/LArjp8Fyze,,Popularidade de Moro cai dez pontos em primeira pesquisa pós-vazamento https://t.co/jH1k0Dyqpd,1
"Gustavo tão apaixonado, pensando muito na Ana #sqn #AQueNãoPodiaAmar049",,,1
Um democrata #sqn 🤨 https://t.co/DDHSwuCFkd,,Jornalista: Quer entrevista comigo? Prove que leu dez livros meus ou então vá chupar uma pica.,1
@roxmo Tudo pelos “mais pobres” !! #SQN levianas! @gleisi @erikakokay @dasilvabenedita,https://t.co/52eiyvYDAm,,1
Justiça imparcial? #SQN https://t.co/SdM4kPpcdR,,,1
"@Biakicis @jairbolsonaro Este é @jairbolsonaro o presidente facista, odiado e caindo nas pesquisas. #SQN",@jairbolsonaro chega a Belém do Pará. Acompanhe! https://t.co/IMY9QhR6YZ,,1
@CarlaZambelli17 @luan_wendelll Sempre a favor dos “mais pobres “ #sqn,"Alguns dos deputados que ESTÃO NO REGIME de APOSENTADORIA ESPECIAL e, ao mesmo tempo, são CONTRA a Nova Previdência:

Arlindo Chinaglia (PT)
Benedita da Silva (PT)
Carlos Zarattini (PT)
Érika Kokay (PT)
Ivan Valente (PSOL)
Jandira (PCdoB)
Paulo Teixeira (PT)
Paulo Pimenta (PT)",,1
Eita. Que governo estável. #sqn https://t.co/Y1FURG8Xh7,,"General Santos Cruz é demitido por Bolsonaro.
https://t.co/b8QdAwskj8",1
O Rio de Janeiro continua lindo... #SQN https://t.co/Wib80P6JcO,,,1
"Os ""defensores"" dos pobres #sqn https://t.co/1jxzMJNxXe",,PT lidera lista de partidos com mais deputados no regime especial de aposentadoria https://t.co/bA8D1qXKNh,1
"@jandira_feghali Pela quantidade de curtidas vai ser um sucesso  #sqn 🐒🐒
😂😂😂😂😂",#GrevePeloBrasil já! https://t.co/DUYkjWlHMX,,1
Muito odiado  kkkkkkkkkkkkkkk  #SQN https://t.co/L95qr2w5SF,,Chegada em Belém/PA. 🇧🇷 https://t.co/Y3mpDe3tQu,1
"@allantercalivre Dificuldade para vender facilidade. Terra dos ""espertos"". #SQN",O RJ só elege idiota. https://t.co/HOUVlxWmPB,,1
Quarta que vem tem estreia minha no futebol da barra funda. Ansioso para esbanjar meu talento kkk #sqn,,,1
"@SenadorKajuru É mesmo, senador?! O que vc diz dos milhares de fuzis nas mãos de traficantes, muitos deles menores de idade?! Interessante ponto de vista. #sqn","NÃO SOU CONTRA ARMAR GENTE PREPARADA E TREINADA, MAS PRA QUALQUER UM SEM NOÇÃO... AÍ É O FIM DA PICADA NUM PAÍS SEM A EDUCAÇÃO DEVIDA E COM TANTO ÓDIO ESPALHADO!!!",,1
@BlogdoNoblat Estamos percebendo isso a partir das conversa divulgadas.... #sqn,"Sem mencionar vazamento, Moro diz que não atua para promover 'justiça vingativa'
Ex-juiz diz que age 'para proteger e melhorar a qualidade de vida das pessoas' https://t.co/ubJmo8La6c https://t.co/IlSFE1xXU2",,1
"Ah, é?? Jura?? Nunca havia me tocado disso... #sqn https://t.co/cInjXVFuML",,,1
Parece que ninguém gosta dele...#sqn #BolsonaroOrgulhodoBrasil https://t.co/HQgfR8PyBd,,Chegada em Belém/PA. 🇧🇷 https://t.co/Y3mpDe3tQu,1
@jandira_feghali @monicabergamo Isentíssima!!!! #sqn,"Solidariedade à @monicabergamo pelo machismo e ódio camuflados de ""humor"" durante o programa Pânico, hoje, na Jovem Pan. Mônica é uma profissional exemplar, que tem sido uma das raras profissionais que, com ISENÇÃO, faz seu trabalho de forma ampla e ética.",,1
"É MUITA REJEIÇÃO. #SQN 
#MoroOrgulhoDoBrasil https://t.co/xQqFSWobQq",,Chegada em Belém/PA. 🇧🇷 https://t.co/Y3mpDe3tQu,1
Justiça imparcial? #SQN https://t.co/0dkP4jdy6r,,,1
"Postando  meu macarraozin,  bem blogueirinha #sqn #spoleto https://t.co/2hyR15QkaH",,,1
"Comparável com a torcida do Flamengo ovacionando, né? #SQN seus mortadelos indigestos! https://t.co/3VBFvbYWL0",,"Após ter suas relações promiscuas com Dallagnol reveladas, Moro é chamado de corrupto e partidário, no Senado. Vergonha! https://t.co/1JvOYkXzrh",1
"@jairbolsonaro Resumindo: Desculpa, Maria do Rosário. #SQN",https://t.co/F3N0ITKj1G,,1
"Momentos que antecederam a apresentação de @hazardeden_10 .
#sqn , #tbt de um dos dias mais felizes da minha vida.
Sala de imprensa do estádio Santiago Bernabéu. #halamadrid #realmadrid #madrid🇪🇸 #roadtrip #tbt❤️ https://t.co/0Hhoi57vvm",,,1
"@senadorhumberto Senador, veja como a popularidade do nosso Presidente está caindo #SQN #MoroOrgulhoDoBrasil https://t.co/rY2xfm9K1v","A força-tarefa da Lava Jato tinha um chefe. E não era Deltan Dallagnol. Era o juiz Segio Moro, o mesmo que devia julgar os casos com imparcialidade e isenção. https://t.co/snxaaSRfcN",Chegada em Belém/PA. 🇧🇷 https://t.co/Y3mpDe3tQu,1
"Tem PT e Psol ai? Mera coincidência, eles são contra a reforma pq querem o melhor para o povo trabalhador. #SQN https://t.co/RMiAOLmvuP",,,1
"@ThiagoNigro @cellbit Fácil??? Kkkkk. #sqn
Parabéns pra vcs.. Pq pq tá super legal tentar  resolver. 👏👏👏👏","Falei com o @cellbit agora:
- eu: Os primos tão achando que o #enigmaprimorico tá fácil. Vamos dificultar pra amanhã?
- ele: https://t.co/DvXHxaOkw3",,1
@runtalita #sqn para você o quão merda Lula está na fita,"Foi vrau em cima de vrau!!! E recado foi dado: VAI TER MAIS FURO DE REPORTAGEM ! E ele não fica como ministro, ele vai é pra cadeia #Morotraidordapátria #InterceptNoPânico",,1
@JogueinaSEP Volta fera!!!! #sqn,Tiago Real no mercado https://t.co/XRcHpTngKn,,1
@sergiosepsep Eu nem vou assistir o jogo e tomar uma cerveja por causa disso. #sqn Cada comentário desse tipo me faz mais Palmeirense 💚🐷🍻,"Nem imagina a falta que faz, hoje será dedicado um minuto de silêncio a estas perdas importantíssimas, desculpa vc é quem mesmo? Só para citar no telão https://t.co/jSRfeJySI6",,1
@Krlao_ @CarlaZambelli17 Uau. Lacrou hein bixão? #sqn,"@CarlaZambelli17 Eu usei o auxílio moradia para comer gente.
Jair Messias Bolsonaro.
Comente isso se tiver coragem.",,1
"@heldermaldonado Baseado na opinião desse ser, deveríamos tirar de cartaz a peça #FridaaDeusaTehuana que está a CINCO anos em cartaz sem nenhum apoio, pq provavelmente será um fracasso #sqn #machonemégente https://t.co/xEwpXYCvsG",QUI AUTOESTIMA DA PORRA https://t.co/Io2EHlYUc2,,1
@CarlaZambelli17 Só gente boa. #sqn 🙄🙄🙄🙄🙄,,,1
"Meus pais compraram a passagem para São Paulo, porque iriamos todos daqui - essa sem chance de reembolso - e o sonho de conhecer o #chile foi pro ralo! Que tristeza! :( Obrigada @AviancaBrasil e @SubViagens por essa incrível notícia! #sqn","Não é pelo dinheiro que você perde..é simplesmente uma viagem planejada com antecedência simplesmente não vai rolar.. Simples assim..
Sem condições de explicar a minha completa descrença com empresas brasileiras..",,1
@rosana Nossa! Q inteligente e engraçada! #sqn 🙄,"Podiam pegar Urano ou Plutão, achatar, pintar de azul, chamar de Nova Terra Plana, botar todos os humanos de extrema direita, os reaças, os homofóbicos, os preconceituosos, os defensores de torturador pra morar lá e ficar tocando Juntos e Shallow Now o dia inteiro pra eles.",,1
De fato não existe tendência partidária na educação #sqn absurdo #EscolaSemPartido https://t.co/0ShcpN2PYZ,,"ABSURDO! Professora,em Recife, fala sobre SINDICATO e greve geral (contra a previdência) para os alunos. São CRIANÇAS! https://t.co/YxSvuUaqRc",1
"Todo mundo trabalhando hoje? Feriado, né?! #sqn por aqui! Escuto muito perguntas do tipo: vc não dorme? Vc não descansa? Vc não pára!
Uma das coisas que sempre faço começando minha manhã e minha tarde e terminando a… https://t.co/gJ6zLnIthW",,,1
"@Nathan_Batista @jairbolsonaro Kkkkk, um verdadeiro cristão, né? 🤦🏻‍♀️ #sqn","@jairbolsonaro Verdadeiro gentleman! Não precisaria, mas assim mesmo oferece a outra face. 👍",,1
#tbt desse sorriso e animação contagiantes #sqn #littlepaula em Gravataí https://t.co/9gJ3s3vUW6,,,1
@republica_ctba @IvanValente @gleisi @dasilvabenedita   Sempre os memos hipocritas que defendem os “mais pobres “..#sqn,Deputados de esquerda adeptos da aposentadoria especial tomam invertida na Câmara https://t.co/OcbMU24am4,,1
"O chat com o @picpay empresas é ótimo, a cada duas horas uma das partes responde (pq pelo jeito a atendente esquece de mim assim como eu esqueço dela)... quem sabe no final do dia eu consigo resolver o problema do meu cadastro da loja! 😂 #picpay #sqn",,,1
"@folha Olha o desgasteste, perceberam o tanto de gente vaiando? E o tanto de copos que jogaram neles? Nunca vi tanto desprezo na minha vida.#SQN","Sob desgaste, Moro vai, de terno e gravata, ver jogo do Flamengo ao lado de Bolsonaro. Ambos vestiram camiseta do clube. O vice Hamilton Mourão, o ministro da Economia Paulo Guedes e o deputado federal Hélio Negão também estão nas tribunas em Brasília https://t.co/RxYbSZarMc https://t.co/5ARvHEE5EH",,1
@ArturTenorio3 @margobernardpin @NiBarga @deltanmd @fabiopinajz Um democrata esse animal aqui #sqn,"@margobernardpin @NiBarga @deltanmd @fabiopinajz Sou contra deportar, tem q ficar PRESO no Brasil. Conhecer nossos presídios. Pedrinhas seria um ótimo lugar p começar",,1
"@RicardoSilva2l @desimpedidos Esse acompanha bem os jogos do campeonato brasileiro, todos lindos #sqn","@desimpedidos Que time horrivel, essas mulheres só servem pra lavar a louça ou passar roupa mesmo. Nunca mais assisto futebol feminino, horrivel assistir esse futebol horroroso",,1
Seleção brasileira perde de 3 a 2 para Austrália na Copa de futebol feminina. Essas meninas jogam muito. #sqn,,,1
Estamos com poucos gringos no elenco... #SQN Sinal de que além do Terans (🙏) sai quem? 🤔 https://t.co/vIFM1JyJAy,,"Recebo a info do meu amigo argentino direto de La Plata
@JoaquinTabares... 

O @Atletico ofereceu 3.5M de dólares por 50% de Matías Pellegrini!!! 

Números ofertados foram rechaçados pelos argentinos... https://t.co/AaAkAWTtMb",1
"Corporativismo é feio, é egoísta, é infantil... Ninguém larga a mão de ninguém e vão todos rumo ao precipício. #SQN Greve na sexta-feira? Sei... #Dia14EuVouTrabalhar",,,1
@o_antagonista @SF_Moro Caiuuuuu Que queda enoorme hein kkkkkkkkk #SQN,"De acordo com a pesquisa, o índice positivo de @SF_Moro caiu de 60%, em maio, para 50,4%. https://t.co/G8p8pXf6B5",,1
"De virada é mais gostoso, #sqn #ausbra https://t.co/Ta5gN6yKF1",,,1
Cada vez que eu preciso do @bradesco é um parto. Estou a 4h tentando falar com a minha gerente e sem sucesso. Estão de parabéns! #sqn,,,1
"Essa Ludmila é tão boa quanto a cantora .
#SQN 
#FIFAWWC",,,1
@zehdeabreu Que beleza!!! E tu acha que fará falta??? #sqn,Acabo de queimar minhas camisas do Flamengo. Jamais voltarei a torcer por este clube de merda. https://t.co/shVb0XKGNK,,1
Direto do Túnel do tempo ou Túnel sem tempo ? #SQN . Kkkkk.... https://t.co/bFhXrEjy9p,,,1
"@berieux 23:49 - ""Com a lei trabalhista, o empregado vai poder conversar com o empregador""

00:00 -  #SQN",,,1
"Trabalhar feriado, maravilhoso #sqn",,,1
"@vivi_scans A pessoa quando é algo não precisa dizer mas basta ser... quando apregoam muito que são determinada coisa, por norma são o contrário daquilo dizem... é o repetir muitas vezes uma mentira pra se tornar uma verdade #sqn","O juiz que se dizia ser anticorrupção era o corrupto.

#MoroTraidorDaPatria",,1
@zehdeabreu @antoniotabet deve estar muito chateado. inconsolavel... #sqn,Acabo de queimar minhas camisas do Flamengo. Jamais voltarei a torcer por este clube de merda. https://t.co/shVb0XKGNK,,1
"Aaah, PARA!! Quer dizer que pq a anti-PT, porém viúva do Alkimin está batendo no Glenn, ela virou a melhor jornalista dos últimos tempos?!

Inimigo do meu inimigo, é meu amigo!!!
#SQN

#IntercePTCovarde #InterceptNoPânico",,,1
"Me coçando pra não postar no status do whatsapp hahaha 
A esquerda pira ! 
Não to querendo problema ...#SQN https://t.co/qln9IPV3bk",,,1
"a comemoração contagiante do técnico da austrália 
#SQN",,,1
