text,in_reply,is_sarcastic
@deltanmd Já entregou seu celular para perícia? Tenho certeza de que isso vai limpar sua barra! #sqn,"Com base nessas falsas acusações, 3 deputados federais protocolaram representação junto à PGR para apuração da conduta de integrantes da força-tarefa Lava Jato, a qual foi processada e arquivada, haja vista a absoluta improcedência da acusação: https://t.co/biTEq3SEtp",1
RT @elenalandau: Mais um cidadão de bem usando arma para se defender #sqn https://t.co/xrKm8NjzSw,,1
"@mah_13_ claro, vencimento de juiz nesse país é uma miséria... #sqn","""Eu compro celular barato e por isso não posso confirmar que os diálogos foram alterados"". 😂
_Moro

#RatoMoroTaMelindrado",1
"RT @AnaPaulaVolei: O IntercePT conseguiu o impossível no Brasil, fazer o povo aplaudir um ministro da Suprema Corte.😅 Operação Joesley 2.0…",,1
"@hayssakmedeiros @thameadanelon @MoniqueCheker @DanAdjuto , peçam aos “bandidos de estimação” de vcs para autorizarem o Telegram a baixar os diálogos deles da nuvem do aplicativo. Está tudo lá. Aí eles poderão provar que os documentos do @TheInterceptBr são falsos. #sqn. https://t.co/BMZYUf71z2",,1
"A internet e seus absurdos!!
#top #sqn https://t.co/RQbjo1dO7q",,1
"Coringa, Pinguim, Charada, Máscara Negra, Duas Caras, Espantalho, Chapeleiro e Hugo, unidos contra  BATMAN 
#SQN",,1
@3xnxmm Que nível de debate #sqn,Dois ridículos que até parece que não tem o que fazer https://t.co/Jy4YKrfKqj,1
RT @Waguinhopinto: Cadeiras do Maracanã limpas e prontinhas para receber o torcedor. #sqn. “Ótima” Recepção para os visitantes do estádio.…,,1
"@CorreiosBR #sqn No bairro Nova Cidade Jardim em Jundiaí (CEP 13203-552), chega gás encanado, chega transporte coletivo, chega tv a cabo, chega internet banda larga, SÓ O SERVIÇO DOS @CorreiosBR NÃO CHEGA!! 

MORO HÁ 5 ANOS NO BAIRRO E NUNCA RECEBI CORRESPONDÊNCIAS E SEDEX!!
#privatizeJá","📍 | Estamos onde ninguém quer estar. Chegamos onde ninguém chega. De Brasil, a gente entende. 🇧🇷 https://t.co/Uoeeg6giLP",1
"@CorreiosBR #sqn Matéria veiculada pela TV Tem, emissora afiliada da @RedeGlobo na região de Jundiaí e Sorocaba, aborda os problemas enfrentados pelos moradores do Nova Cidade Jardim pela ausência de atendimento dos @CorreiosBR, há cerca de SEIS ANOS.
https://t.co/BuDmC3zsYp","📍 | Estamos onde ninguém quer estar. Chegamos onde ninguém chega. De Brasil, a gente entende. 🇧🇷 https://t.co/Uoeeg6giLP",1
"RT @DillRusseffi: Agradeço(#sqn) aos 48 senadores que tiraram o direito de nós, brasileiros de bem,  termos uma arma para nos defendermos,…",,1
O jornalismo sobrevive. #sqn https://t.co/Srnq7S02pv,,1
"RT @DillRusseffi: Agradeço(#sqn) aos 48 senadores que tiraram o direito de nós, brasileiros de bem,  termos uma arma para nos defendermos,…",,1
Veja o nível de desrespeito que chegou nos dias de hoje...só o diálogo resolve!!!! #sqn https://t.co/3neqBqKtDO,,1
"@BolsonaroSP Careca, quem decide é o Senado. Democracia é assim. Depois o Bozo acha uma meneira de cumprir sua promessa de campanha... Com a Taurus #sqn
#VazaJato #MoroJuizFake",Será que os senadores votariam a favor de uma lei que desarma seus próprios seguranças?,1
"É tanto lambedor de bolas no senado, que o Moro deve acreditar que está bem na fita 😂😂😂😂😂😂

#sqn então #RenunciaMoro

#MoroJuizFake #RatoMoroTaMelindrado 
#VazaJato",,1
"@Estadao @Emais_Estadao Olha... A Rainha Elizabeth, do alto dos seus 90 anos de idade (ou mais) vai ficar maravilhada! 
#IronicModeOn #SQN 
PS - principalmente com a voz de taquara rachada...","Pabllo Vittar se apresenta na ONU em evento que homenageia rainha Elizabeth: 'Vai ter viado na ONU, sim!' https://t.co/qs2zhtplIn -via @Emais_Estadao https://t.co/jCdYPSg9Ai",1
"RT @DillRusseffi: Agradeço(#sqn) aos 48 senadores que tiraram o direito de nós, brasileiros de bem,  termos uma arma para nos defendermos,…",,1
RT @Regina_Iorio: Isto porque nesse governo não tem ideologia. #sqn É uma vergonha o que eles estão fazendo! https://t.co/cU7FtTq8R1,,1
@ARubroNegra @marconovanta A gente né? Santinha #SQN Kkkkkkkkkkkk,@CamiilleeLiimaa @marconovanta Vcs são muito mente suja,1
RT @Renato_Duro: #partiu #ferias #sqn #CONPEDI — viajando para Goiânia de Aeroporto Internacional de Porto Alegre https://t.co/QniMRcbTRN,,1
No Carnaval 2019 o mundo ia se acabar. #sqn Redução da mortalidade é número de acidentes. Imprensa calou https://t.co/6cwsDSjzrg,,1
Eu sou advogado e nunca recebi uma mensagem de um Juiz 👨‍⚖️!! Estou tentando entender o motivo. Estou ficando decepcionado comigo mesmo. #SQN.,,1
"Os políticos que votaram contra a flexibilização do porte de armas (direito a exercer a legítima defesa do cidadão) não são aqueles que vivem diuturnamente guardados por seguranças ARMADOS? Ah, tá... Ainda bem que eles são pelo Brasil! #SQN",,1
Isto porque nesse governo não tem ideologia. #sqn É uma vergonha o que eles estão fazendo! https://t.co/cU7FtTq8R1,,1
"@KawauchiYuri @gvnprcn @_thaism2 Quero moral não, cara. É possível ser gente boa com uma mulher sem querer pegar a pessoa, tenta qualquer dia desses. Pelo jeito quem precisa de ajuda aqui é você, deve ser uma pessoa incrível de ter por perto #sqn",@rafaelfollador @gvnprcn @_thaism2 Aí aí aí só risadas com vc fera conseguiu alguma mora lá com a gp? Já bateu uma por ela e matou algumas mulheres por isso continue pede desculpa por ser omem kkk,1
@PauloVic_Xavier Vc reclamando?! Novidade isso kkkk #sqn,"Decidi que vou começar a usar essa merda pra reclamar. 
Obrigado.",1
Você vê que cresceu quando troca a palavra empatia por ocitocina. #sqn,,1
#partiu #ferias #sqn #CONPEDI — viajando para Goiânia de Aeroporto Internacional de Porto Alegre https://t.co/QniMRcbTRN,,1
"@farquardi Sou contra! Quem não vê q isso é mais um compromisso do @jairbolsonaro c/ suas corporações?! É mais uma forma do estado sucatear a segurança pública. Ruim ao pobre q não tem condições d se armar @ghiraldelli
#DecepcaoPraMimEIsso #ArmaLegalSim #sqn  #AposentadoriaSimArmasNão",#kajurumerepresenta #libera_as_armas #SenadoNaoAbuse https://t.co/mdIXbgJDbY,1
"Agora vai!!! #SQN
O que acontece Titeee?! https://t.co/nbFWB0oXic",,1
"@marcelvanhattem Se é trabalhadora não é atendida pelos direitos humanos, já q eles só atendem as supostas ""vítimas das sociedade"" q roubam e matam, esses sim são coitados q não podem se defender sozinhos dos fascistas opressores #sqn. Já a esquerda não atende pq ela não estava na greve com eles.","Onde estãp os direitos humanos? A esquerda hipócrita que diz defender os mais pobres? Morre uma mãe de oito filhos, trabalhadora de verdade, vítima da greve feita por criminosos! Revolta infinita!!!! Toda solidariedade à família e aos amigos da d. Edi. https://t.co/6zrFCCz7eN",1
#DePlacaNoSpace com aquela empolgação igual da seleção #sqn,,1
"RT @alexsanspacheco: Que moral, hein Rodrigo Maia?

Reunião com o Alexandre Frota!

Vai ser um sucesso nas redes sociais. #sqn https://t.co…",,1
@BolsonaroSP Vamos continuar cortando da educação que essa realidade muda #sqn,,1
@hfloret Quiosque é Pika... #sqn,"Bom dia! Incrível a decepção que se mostrou Bruno César. Não é só o fato de jogar mal, o cara simplesmente não consegue jogar. É como colocar um jogador de master para jogar profissional. E ele nem é tão velho assim. Um dos maiores erros do Vasco 2019 foi a contratação dele.",1
"@jandira_feghali Linda! Ti amo!! 😍😍😍
#sqn
#AbusoDeAutoridadeNao","INTERCEPT COMPROVA: LAVA-JATO NUNCA FOI CONTRA A CORRUPÇÃO, MAS SIM CONTRA A ESQUERDA. #VazaJato",1
Que bonito! A familia inteira trabalhando em prol de um Brasil melhor. Bonito isso...#sqn https://t.co/n1UksV9PJg,,1
"Queria poder dizer que tem uma sexta na minha quarta, mas #Sqn trabalharei todo o feriado! 😫😫😫",,1
@jairbolsonaro @monicabergamo Faz sinalzinho de pinto pequeno lá e da aquela risadinha idiota... mostra que tu é intenso. #sqn,"- Aproveito para anunciar que na próxima semana, irei à Osaka, no Japão, onde participarei da reunião do G20 e de reunião privada com o Primeiro-Ministro japonês, Shinzo Abe.",1
@Cardoso Minha esposa está brigando comigo por uma camisa da Marta. #SQN,"""segundo muitos estudiosos do tema, é somente a discriminação de gênero entranhada em toda a cadeia esportiva que explica por que a melhor jogadora de futebol de todos os tempos ganha € 340 mil por temporada, enquanto Neymar, por exemplo, recebe € 91,5 milhões (R$ 396 milhões)""",1
"plano de saúde hoje em dia tá parecendo SUS, nada contra o SUS super respeito afinal ele super funciona haha #sqn",,1
"@guimaraes13PT @LulaOficial Beleza! Soltem o Lula, o Palocci, o Cunha, Delúbio, Cabral, Pezão, Dirceu, e voltem a assaltar o Brasil! #SQN",". @LulaOficial foi preso sem prova, sem crime. Agora, enfrenta mais um episódio de perseguição, acusado de pedir reformas que não pediu, em um sítio que não é dele. Basta de injustiça contra Lula! #RenunciaMoro",1
"@guimaraes13PT Beleza! Soltem o Lula, o Palocci, o Cunha, Delúbio, Cabral, Pezão, Dirceu, e voltem a assaltar o Brasil! #SQN","Ilegalidades, abusos e contradições: Lava Jato completou cinco anos  - https://t.co/hiDLf4H5AB #RenunciaMoro",1
"@o_gabsferreira Empatia que fala, né? #sqn",,1
@cesarcmaquinas @lelacohen Opa...todas legalizadas com registro porte aptidão física e psicológica...#sqn,Será que essa turma que está trocando tiros com a polícia tem porte de armas? https://t.co/MwtZxnFxDG,1
"Pobre Moro, nem usa Telegram e sempre agiu dentro da Lei. Esse grupo criminoso invadiu o telefone dele com vilania para barrar o super herói no combate à corrupção. #sqn #RatoMoroTaMelindrado e cheio de bolsas embaixo dos olhos",,1
@benebarbosa_mvb @lidicedamata @SenadoFederal Beautiful day! A partir de hoje o Brasil tem uma das menores taxas de homicídio do planeta. #sqn,@lidicedamata @SenadoFederal Vitória da Paz? Onde há paz quando um trabalhador é privado de promover sua autodefesa? Paz dos bandidos!,1
RT @elenalandau: Mais um cidadão de bem usando arma para se defender #sqn https://t.co/xrKm8NjzSw,,1
"""OI"" Com aquela disposição da manhã.  #SQN
#AmeixinhaFalante 
#MeuAmoVirouGente 
#KarenPromessaDeDeus 
#DeuséBom 
#DeusÉMaravilhoso em Belo Horizonte, Brazil https://t.co/ZjMUVkmRea",,1
@JornalOGlobo Grande notícia!! #SQN  não muda nada .,"'Vai ter viado na ONU, sim', diz Pabllo Vittar após show em Nova York. https://t.co/Q2nksEAwzb",1
"RT @alexsanspacheco: Que moral, hein Rodrigo Maia?

Reunião com o Alexandre Frota!

Vai ser um sucesso nas redes sociais. #sqn https://t.co…",,1
"RT @alexsanspacheco: Que moral, hein Rodrigo Maia?

Reunião com o Alexandre Frota!

Vai ser um sucesso nas redes sociais. #sqn https://t.co…",,1
"RT @alexsanspacheco: Que moral, hein Rodrigo Maia?

Reunião com o Alexandre Frota!

Vai ser um sucesso nas redes sociais. #sqn https://t.co…",,1
"""OI"" tá perdendo essa menina propaganda hahaha...claro q com aquela disposição  manhã #SQN
#AmeixinhaFalante 
#KarenPromessaDeDeus 
#MeuAmoVirouGente 
#DeuséBom 
#DeusÉMaravilhoso em Belo Horizonte, Brazil https://t.co/GL5rLPdCyE",,1
"@FoxSportsBrasil Marquinhos, Fernandinho, cebolinha... o Brasil vai longe viu. #Sqn","🤔🇧🇷 VOCÊ DECIDE!

Depois de 2 jogos, quem é o melhor jogador do Brasil na Copa América? https://t.co/lkjKGKl9ZC",1
RT @elenalandau: Mais um cidadão de bem usando arma para se defender #sqn https://t.co/xrKm8NjzSw,,1
@DCM_online Difícil escolher os amigos hoje em dia. Todo mundo acaba passando por isso de ter de apagar fotos. Pera! #SQN #MoroJuizFake #FHCnaVazaJato,"“Vai melindrar, mas fazer o quê?”: Luciano Huck já começa a apagar fotos com FHC das redes sociais https://t.co/bylVWla5Tb",1
Não pode contratar o monge tupiniquim...ele é o exemplo de ética...#sqn https://t.co/FgLI7ua3M2,,1
"Agora vão, Brasil. A entrevista no Ratinho trouxe novos ares para o super herói de araque. #SQN https://t.co/ood1z5SiWE",,1
RT @elenalandau: Mais um cidadão de bem usando arma para se defender #sqn https://t.co/xrKm8NjzSw,,1
Então... e viva a democracia na Venezuela! #sqn https://t.co/i3n8q9wRAY,,1
@rpsenador Bonito isso #SQN #SenadoVergonhadoBrasil,"Não me abato com críticas, ainda que duras. O que vale é a Constituição e satisfazer o povo pelo certo, sem demagogia.
Devemos debater as armas de fogo pelo caminho da Lei, e não por um decreto inconstitucional.
Com toda a humildade, desculpem-me os que pensam diferente de mim. https://t.co/uQjclqJLDt",1
@lidicedamata @SenadoFederal Que bom! Assim os índices de criminalidade permanecem baixos né! #Sqn,Vitória da paz. Decreto das armas de Bolsonaro sofre derrota no @SenadoFederal 47 a 28.,1
"@randolfeap Tentativa desesperada pra ""quitar a fatura"" com seus apoiadores rurais do agronegócio. Pra ele o lema é: ""Dane-se a Constituição! Quem manda nessa p... sou eu!!!"" #sqn #ForaBozo #PRfake 😎","O governo Bolsonaro é um monumento à ilegalidade: mesmo sabendo ser vedado pela Constituição Federal, reedita medida provisória acerca da competência sobre demarcação de terras indígenas. É vingança contra a acachapante derrota no decreto das armas. https://t.co/y9AMXqY9rE",1
"@valoreconomico Ahhhhh, o Valor então periciou o material do Hacker pra saber que se trata realmente de uma conversa entre o juiz e o procurador? Que eficiência..... #SQN",Moro questionou Dallagnol por 'melindrar' FHC https://t.co/ulm8qMaWAq,1
RT @elenalandau: Mais um cidadão de bem usando arma para se defender #sqn https://t.co/xrKm8NjzSw,,1
RT @elenalandau: Mais um cidadão de bem usando arma para se defender #sqn https://t.co/xrKm8NjzSw,,1
Mais um cidadão de bem usando arma para se defender #sqn https://t.co/xrKm8NjzSw,,1
@randolfeap Mas agente vive numa paaaaaaaazzzz.... #sqn,Não tenho segurança armada e nem ando de carro blindado! Sou um entusiasta da cultura de paz e não acredito que armas tragam segurança. Por isso comemoro nossa grande vitória contra o decreto das armas. O Brasil não será o país do ódio. #ArmasNÃO,1
@Roselen13944992 Pensava que era só os ptstas que defendem bandidos kkk #sqn,"Herói da dignidade.
#DetonaTudoMoro https://t.co/NGflpz4AR7",1
"@HeidyTwitta @Ivonete43808631 @powercouple MAS OU MAIS tanto faz oque importa é Deus na minha vida, se sua vida não tem Deus e sim esses argumentos de ""INTELIGENTE"" #sqn então que pena kkkkkk","@mandinha22222 @Ivonete43808631 @powercouple Gente a pessoa não sabe diferenciar o MAS DO MAIS...

QUE PREGUIÇA!",1
"Aquela velha cara de preocupação... #SQN

#Boatarde #Bear #Urso #Ursinho #Tosado #Beard #beardstyles #Barbudinho #Barbudo #cama #ursoslindosdobrasil #Goodvibes #goodafternoon #LittleBear em Natal, Rio Grande do Norte https://t.co/hTYqxMoIAq",,1
"RT @DillRusseffi: Agradeço(#sqn) aos 48 senadores que tiraram o direito de nós, brasileiros de bem,  termos uma arma para nos defendermos,…",,1
RT @Regina_Iorio: Isto porque nesse governo não tem ideologia. #sqn É uma vergonha o que eles estão fazendo! https://t.co/cU7FtTq8R1,,1
"Como eu soltei pombas brancas e ""abracei"" a Lagoa, com certeza as armas nas mãos desses vagabundos não me farão mal algum!!! #SQN https://t.co/bIkuVGABnz",,1
"RT @DillRusseffi: Agradeço(#sqn) aos 48 senadores que tiraram o direito de nós, brasileiros de bem,  termos uma arma para nos defendermos,…",,1
"@Fasalles Homem honesto, comprometido com o Brasil. Trabalha pela prosperidade do povo.
#sqn
Isso é o que eu gostaria que ele fosse, mas é tudo ao contrário 😰","O que vcs acham do Renan Canalheiro? Deixem aqui o seu apreço.
#DetonaTudoMoro https://t.co/gjxT0NrBUp",1
"@ludj @pablovillaca @TheInterceptBr Se o Ratinho, Dallagnol e o Moro disseram então deve ser verdade kkkk #sqn","Moro no Senado disse que o @TheInterceptBr é sensacionalista. Credibilidade mesmo quem tem é o Ratinho, né?",1
"Agora com vcs o”CRIMINOSO MOR” o Sr.Excelentíssimo #SQN ,senador RENAN CALHEIROS  na CCJ esse país é uma piada  Ñ é mesmo @SenadoFederal um criminoso interrogando um ex juiz e agora MINISTRO DA JUSTIÇA COM LOUVOR . #DetonaTudoMoro",,1
@DZlia3 @senna70 Cobrei isso do Senador Randolfe e olhe o que ganhei.... Super coerente e democrático.... #sqn https://t.co/nuaOxe13uj,"Eu gostaria, de todo coração,  que já encerrada a votação sobre o decreto das armas no Senado, fossem suspensos os direitos de segurança particular e carro blindado para os 47 senadores que votaram contra.
Daria- me por satisfeita.",1
Renan Calheiros sempre defendeu a Lava Jato. #sqn #pqp,,1
"Maneira a lei dos canudinhos, olha como diminuiu a quantidade de plástico. #sqn https://t.co/xyhJtdtAsI",,1
Só um choop de vinho🍷🍷 na minha vida rsrs #sqn,,1
@Klesiapgmailco1 Nenhuma surpresa! Alias os índices de violência no Ceara são baixíssimos...#sqn,OS 3 SANADORES DO CEARÁ VOTARAM PARA DESARMAR O CIDADÃO https://t.co/1ZXrFJGB4i,1
Carlos Bolsanaro erra ao se referir a Suiça - Esse video foi gravado nos EUA ou Suiça paises altamente armados . #SQN  https://t.co/Vp2Hkfm6gr,,1
Nunca ouvi tanto na minha vida: “eu sempre defendi a lava jato” 🤣🤣🤣 #sqn,,1
"@BolsonaroSP E o seu governo esta fazendo muito pela educação, para lutar contra esse tipo de coisa, né? #sqn",,1
@deltanmd Já entregou seu celular para perícia? Tenho certeza de que isso vai limpar sua barra! #sqn,"Com base nessas falsas acusações, 3 deputados federais protocolaram representação junto à PGR para apuração da conduta de integrantes da força-tarefa Lava Jato, a qual foi processada e arquivada, haja vista a absoluta improcedência da acusação: https://t.co/biTEq3SEtp",1
RT @elenalandau: Mais um cidadão de bem usando arma para se defender #sqn https://t.co/xrKm8NjzSw,,1
"@mah_13_ claro, vencimento de juiz nesse país é uma miséria... #sqn","""Eu compro celular barato e por isso não posso confirmar que os diálogos foram alterados"". 😂
_Moro

#RatoMoroTaMelindrado",1
"RT @AnaPaulaVolei: O IntercePT conseguiu o impossível no Brasil, fazer o povo aplaudir um ministro da Suprema Corte.😅 Operação Joesley 2.0…",,1
"@hayssakmedeiros @thameadanelon @MoniqueCheker @DanAdjuto , peçam aos “bandidos de estimação” de vcs para autorizarem o Telegram a baixar os diálogos deles da nuvem do aplicativo. Está tudo lá. Aí eles poderão provar que os documentos do @TheInterceptBr são falsos. #sqn. https://t.co/BMZYUf71z2",,1
"A internet e seus absurdos!!
#top #sqn https://t.co/RQbjo1dO7q",,1
"Coringa, Pinguim, Charada, Máscara Negra, Duas Caras, Espantalho, Chapeleiro e Hugo, unidos contra  BATMAN 
#SQN",,1
@3xnxmm Que nível de debate #sqn,Dois ridículos que até parece que não tem o que fazer https://t.co/Jy4YKrfKqj,1
RT @Waguinhopinto: Cadeiras do Maracanã limpas e prontinhas para receber o torcedor. #sqn. “Ótima” Recepção para os visitantes do estádio.…,,1
"@CorreiosBR #sqn No bairro Nova Cidade Jardim em Jundiaí (CEP 13203-552), chega gás encanado, chega transporte coletivo, chega tv a cabo, chega internet banda larga, SÓ O SERVIÇO DOS @CorreiosBR NÃO CHEGA!! 

MORO HÁ 5 ANOS NO BAIRRO E NUNCA RECEBI CORRESPONDÊNCIAS E SEDEX!!
#privatizeJá","📍 | Estamos onde ninguém quer estar. Chegamos onde ninguém chega. De Brasil, a gente entende. 🇧🇷 https://t.co/Uoeeg6giLP",1
"@CorreiosBR #sqn Matéria veiculada pela TV Tem, emissora afiliada da @RedeGlobo na região de Jundiaí e Sorocaba, aborda os problemas enfrentados pelos moradores do Nova Cidade Jardim pela ausência de atendimento dos @CorreiosBR, há cerca de SEIS ANOS.
https://t.co/BuDmC3zsYp","📍 | Estamos onde ninguém quer estar. Chegamos onde ninguém chega. De Brasil, a gente entende. 🇧🇷 https://t.co/Uoeeg6giLP",1
"RT @DillRusseffi: Agradeço(#sqn) aos 48 senadores que tiraram o direito de nós, brasileiros de bem,  termos uma arma para nos defendermos,…",,1
O jornalismo sobrevive. #sqn https://t.co/Srnq7S02pv,,1
"RT @DillRusseffi: Agradeço(#sqn) aos 48 senadores que tiraram o direito de nós, brasileiros de bem,  termos uma arma para nos defendermos,…",,1
Veja o nível de desrespeito que chegou nos dias de hoje...só o diálogo resolve!!!! #sqn https://t.co/3neqBqKtDO,,1
"@BolsonaroSP Careca, quem decide é o Senado. Democracia é assim. Depois o Bozo acha uma meneira de cumprir sua promessa de campanha... Com a Taurus #sqn
#VazaJato #MoroJuizFake",Será que os senadores votariam a favor de uma lei que desarma seus próprios seguranças?,1
"É tanto lambedor de bolas no senado, que o Moro deve acreditar que está bem na fita 😂😂😂😂😂😂

#sqn então #RenunciaMoro

#MoroJuizFake #RatoMoroTaMelindrado 
#VazaJato",,1
"@Estadao @Emais_Estadao Olha... A Rainha Elizabeth, do alto dos seus 90 anos de idade (ou mais) vai ficar maravilhada! 
#IronicModeOn #SQN 
PS - principalmente com a voz de taquara rachada...","Pabllo Vittar se apresenta na ONU em evento que homenageia rainha Elizabeth: 'Vai ter viado na ONU, sim!' https://t.co/qs2zhtplIn -via @Emais_Estadao https://t.co/jCdYPSg9Ai",1
"RT @DillRusseffi: Agradeço(#sqn) aos 48 senadores que tiraram o direito de nós, brasileiros de bem,  termos uma arma para nos defendermos,…",,1
RT @Regina_Iorio: Isto porque nesse governo não tem ideologia. #sqn É uma vergonha o que eles estão fazendo! https://t.co/cU7FtTq8R1,,1
@ARubroNegra @marconovanta A gente né? Santinha #SQN Kkkkkkkkkkkk,@CamiilleeLiimaa @marconovanta Vcs são muito mente suja,1
RT @Renato_Duro: #partiu #ferias #sqn #CONPEDI — viajando para Goiânia de Aeroporto Internacional de Porto Alegre https://t.co/QniMRcbTRN,,1
No Carnaval 2019 o mundo ia se acabar. #sqn Redução da mortalidade é número de acidentes. Imprensa calou https://t.co/6cwsDSjzrg,,1
Eu sou advogado e nunca recebi uma mensagem de um Juiz 👨‍⚖️!! Estou tentando entender o motivo. Estou ficando decepcionado comigo mesmo. #SQN.,,1
"Os políticos que votaram contra a flexibilização do porte de armas (direito a exercer a legítima defesa do cidadão) não são aqueles que vivem diuturnamente guardados por seguranças ARMADOS? Ah, tá... Ainda bem que eles são pelo Brasil! #SQN",,1
Isto porque nesse governo não tem ideologia. #sqn É uma vergonha o que eles estão fazendo! https://t.co/cU7FtTq8R1,,1
"@KawauchiYuri @gvnprcn @_thaism2 Quero moral não, cara. É possível ser gente boa com uma mulher sem querer pegar a pessoa, tenta qualquer dia desses. Pelo jeito quem precisa de ajuda aqui é você, deve ser uma pessoa incrível de ter por perto #sqn",@rafaelfollador @gvnprcn @_thaism2 Aí aí aí só risadas com vc fera conseguiu alguma mora lá com a gp? Já bateu uma por ela e matou algumas mulheres por isso continue pede desculpa por ser omem kkk,1
@PauloVic_Xavier Vc reclamando?! Novidade isso kkkk #sqn,"Decidi que vou começar a usar essa merda pra reclamar. 
Obrigado.",1
Você vê que cresceu quando troca a palavra empatia por ocitocina. #sqn,,1
#partiu #ferias #sqn #CONPEDI — viajando para Goiânia de Aeroporto Internacional de Porto Alegre https://t.co/QniMRcbTRN,,1
"@farquardi Sou contra! Quem não vê q isso é mais um compromisso do @jairbolsonaro c/ suas corporações?! É mais uma forma do estado sucatear a segurança pública. Ruim ao pobre q não tem condições d se armar @ghiraldelli
#DecepcaoPraMimEIsso #ArmaLegalSim #sqn  #AposentadoriaSimArmasNão",#kajurumerepresenta #libera_as_armas #SenadoNaoAbuse https://t.co/mdIXbgJDbY,1
"Agora vai!!! #SQN
O que acontece Titeee?! https://t.co/nbFWB0oXic",,1
"@marcelvanhattem Se é trabalhadora não é atendida pelos direitos humanos, já q eles só atendem as supostas ""vítimas das sociedade"" q roubam e matam, esses sim são coitados q não podem se defender sozinhos dos fascistas opressores #sqn. Já a esquerda não atende pq ela não estava na greve com eles.","Onde estãp os direitos humanos? A esquerda hipócrita que diz defender os mais pobres? Morre uma mãe de oito filhos, trabalhadora de verdade, vítima da greve feita por criminosos! Revolta infinita!!!! Toda solidariedade à família e aos amigos da d. Edi. https://t.co/6zrFCCz7eN",1
#DePlacaNoSpace com aquela empolgação igual da seleção #sqn,,1
"RT @alexsanspacheco: Que moral, hein Rodrigo Maia?

Reunião com o Alexandre Frota!

Vai ser um sucesso nas redes sociais. #sqn https://t.co…",,1
@BolsonaroSP Vamos continuar cortando da educação que essa realidade muda #sqn,,1
